UID        PID  PPID  C STIME TTY          TIME CMD
nobody    1215   808  0 12:00 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/run/sendsigs.omit.d/network-manager.dnsmasq.pid --listen-address=127.0.1.1 --conf-file=/var/run/NetworkManager/dnsmasq.conf --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root      1288     1  0 12:00 ?        00:00:01 /usr/sbin/apache2 -k start
www-data  1334  1288  0 12:00 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1335  1288  0 12:00 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1336  1288  0 12:00 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1337  1288  0 12:00 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1338  1288  0 12:00 ?        00:00:00 /usr/sbin/apache2 -k start
root      1369  1041  0 12:00 ?        00:00:00 lightdm --session-child 12 15
root      1380     2  0 12:00 ?        00:00:00 [kauditd]
rahul     1394  1369  0 12:00 ?        00:00:00 init --user
rahul     1454     1  0 12:00 ?        00:00:00 dbus-launch --autolaunch=7f5038edaa99a41cd1e0c1930000000d --binary-syntax --close-stderr
rahul     1455     1  0 12:00 ?        00:00:00 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
rahul     1468  1394  0 12:00 ?        00:00:00 ssh-agent
rahul     1477  1394  0 12:00 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-a3EFldXHhE
rahul     1486  1394  0 12:00 ?        00:00:00 upstart-event-bridge
rahul     1492  1394  0 12:00 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
root      1591     1  0 12:00 ?        00:00:00 /usr/sbin/winbindd -F
root      1625     1  0 12:00 ?        00:00:00 nmbd -D
rahul     1629  1394  0 12:00 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
rahul     1633  1394  0 12:00 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
root      1635  1591  0 12:00 ?        00:00:00 /usr/sbin/winbindd -F
rahul     1637  1394  0 12:00 ?        00:00:00 upstart-file-bridge --daemon --user
rahul     1642  1394  0 12:00 ?        00:01:47 /usr/bin/ibus-daemon --daemonize --xim
root      1658   808  0 12:00 ?        00:00:00 /sbin/dhclient -d -sf /usr/lib/NetworkManager/nm-dhcp-client.action -pf /run/sendsigs.omit.d/network-manager.dhclient-wlan0.pid -lf /var/lib/NetworkManager/dhclient-003c9b34-e86e-4242-8d20-581022495b66-wlan0.lease -cf /var/lib/NetworkManager/dhclient-wlan0.conf wlan0
rahul     1662  1394  0 12:00 ?        00:00:02 /usr/lib/unity-settings-daemon/unity-settings-daemon
rahul     1666  1394  0 12:00 ?        00:00:00 /usr/lib/gvfs/gvfsd
rahul     1677  1394  0 12:00 ?        00:00:06 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
rahul     1680  1394  0 12:00 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
